date,open,high,low,close,volume
2025-04-18,9.33433712,9.40128421,9.26739003,9.30564551,18870103
2025-04-21,9.33433712,9.64038096,9.2769539,9.58299774,51087435
2025-04-22,9.55430613,9.59256161,9.45866743,9.53517839,31007442
2025-04-23,9.54474226,9.59256161,9.42997582,9.52561452,24719871
2025-04-24,9.52561452,9.59256161,9.42041195,9.53517839,20257901
2025-04-25,9.52561452,9.57343387,9.44910356,9.47779517,15526216
2025-04-28,9.47779517,9.51605065,9.29608164,9.29608164,19893267
2025-04-29,9.33433712,9.53517839,9.2769539,9.50648678,27601421
2025-04-30,9.44910356,9.48735904,9.3725926,9.39172034,21267509
2025-05-06,9.42997582,9.59256161,9.34390099,9.4682313,38403475
2025-05-07,9.49692291,9.61168935,9.44910356,9.57343387,26442380
2025-05-08,9.51605065,9.53517839,9.40128421,9.42997582,22455045
2025-05-09,9.42997582,9.4682313,9.31520938,9.35346486,24399030
2025-05-12,9.40128421,9.41084808,9.22913455,9.34390099,23068302
2025-05-13,9.38215647,9.45866743,9.35346486,9.42041195,21764531
2025-05-14,9.43953969,9.50648678,9.36302873,9.4682313,16926056
2025-05-15,9.47779517,9.50648678,9.40128421,9.42041195,10482343
2025-05-16,9.40128421,9.44910356,9.33433712,9.40128421,12611214
2025-05-19,9.40128421,9.42041195,9.32477325,9.38215647,10567566
2025-05-20,9.41084808,9.6595087,9.38215647,9.57343387,32114222
2025-05-21,9.57343387,9.67863644,9.54474226,9.60212548,18682401
2025-05-22,9.56387,9.61168935,9.50648678,9.55430613,11453100
2025-05-23,9.55430613,9.64038096,9.48735904,9.48735904,11869752
2025-05-26,9.47779517,9.51605065,9.38215647,9.41084808,11295659
2025-05-27,9.41084808,9.50648678,9.36302873,9.48735904,12454100
2025-05-28,9.49692291,9.63081709,9.43953969,9.47779517,12608137
2025-05-29,9.45866743,9.50648678,9.42041195,9.42997582,18092054
2025-05-30,9.42997582,9.45866743,9.36302873,9.38215647,15163600
2025-06-03,9.41084808,9.52561452,9.40128421,9.50648678,18160053
2025-06-04,9.51605065,9.73601966,9.47779517,9.64994483,27924444
2025-06-05,9.63081709,9.67863644,9.56387,9.61168935,19831242
2025-06-06,9.6595087,9.82209449,9.61168935,9.69776418,28135005
2025-06-09,9.66907257,10.16639381,9.66907257,10.10901059,69371481
2025-06-10,10.10901059,10.11857446,9.78383901,9.90816932,62768065
2025-06-11,9.89860545,9.98468028,9.8507861,9.91773319,45460036
2025-06-12,9.92729706,10.02293576,9.90816932,9.97511641,44449089
